gender,wage,bonus,total
M,46793.6038108271,33329.344099872564,594852.5898297977
M,33481.57572005241,0.0,401778.9086406289
M,44523.69908406118,3192912.3129180763,3727196.7019268107
M,15995.576829130952,21968.57937484445,213915.50132441588
F,10282.631223900877,0.0,123391.57468681052
M,65464.53228148786,53167.8029435237,838742.1903213781
M,35395.17245409278,14750.106301849211,439492.1757509626
M,139610.8543652314,0.0,1675330.252382777
M,54813.50695725651,415211.3980078665,1072973.4814949445
M,12196.08391898407,0.0,146353.00702780884
M,30489.46661003692,0.0,365873.59932044306
F,3249.605291476977,7562.87139000765,46558.13488773137
M,23547.663280821514,386483.71671652544,669055.6760863836
M,23547.663280821514,247287.5851858261,529859.5445556842
M,273483.60923594295,13956.372348850608,3295759.683180166
M,13434.655493289682,39212.94761001429,200428.81352949046
M,13434.655493289682,5259.058474655259,166474.92439413143
F,68341.33216316313,94066.87833851548,914162.8642964731
F,35448.04087759186,0.0,425376.49053110235
M,20178.985060062987,6073.910826123347,248221.7315468792
F,166655.8082740009,0.0,1999869.699288011
F,9808.005933838096,0.0,117696.07120605715
M,5145.156039682276,0.0,61741.872476187316
M,8375.630784677518,92305.96287463808,192813.5322907683
M,92721.847913788,0.0,1112662.1749654561
F,44093.97871506778,0.0,529127.7445808133
F,47579.57903775951,246041.81282620243,816996.7612793166
F,1642.7151702418,0.0,19712.582042901602
M,20020.445463382228,7510.231802608246,247755.57736319496
F,21648.22544335491,641.4821127922093,260420.18743305112
F,17369.868542161905,0.0,208438.42250594287
F,18927.67410536637,0.0,227132.08926439646
M,50761.92341761336,0.0,609143.0810113603
F,5087.99259683909,549676.2002573074,610732.1114193765
F,150636.1632578341,46781.7086783985,1854415.6677724076
F,16594.25579357388,0.0,199131.06952288657
M,125014.89032696869,0.0,1500178.6839236242
M,25031.713818674303,2226.908400218666,302607.4742243103
M,81986.6750402388,104183.87675047651,1088023.9772333421
F,7331.286676095301,12225.080391660118,100200.52050480373
M,23057.29227543021,0.0,276687.5073051625
M,23512.92813822399,599.4414131095739,282754.5790717975
M,36458.3187389708,0.0,437499.8248676496
M,17731.107140673397,0.0,212773.28568808077
F,13760.36498032092,0.0,165124.37976385103
F,39438.8560994648,0.0,473266.2731935776
M,33981.39066517921,0.0,407776.6879821506
F,16679.959601485964,18937.01752375566,219096.53274158723
M,66891.4151498423,1796413.0088165386,2599109.990614646
M,24351.02056340356,473484.31551141024,765696.562272253
M,12213.218211312056,643776.1190872692,790334.7376230138
F,21912.042750861525,10150.350968411476,273094.8639787498
M,89649.41090492265,9292.496185798993,1085085.4270448708
F,32077.905361588764,0.0,384934.86433906516
M,29931.55154993629,0.0,359178.61859923543
M,52492.15440773185,0.0,629905.8528927822
M,109324.20492893684,158669.57775518458,1470560.0369024267
